Verse Index{hide},Pranab Gita Translation,Pranab Gita Commentary
1,"The Lord said: “O Mahabaho [mighty-armed one; Arjuna]! You feel dearness coming from Me to you through the words I speak to you. And so, as I desire the best for you, listen again to the teachings that I will speak to you now, regarding resolution with the Supreme Self. ”","In the 1st sloka of the 7th Chapter [of the Gita], the Lord said to Arjuna, “Hear now the way in which you can know Me completely and without any doubt.” Saying this, the Lord began to speak about His wonders, might, power, opulence/sovereignty etc. Through these [following] sayings: in Chapter Seven [of the Gita] – “raso’hamapsu kaunteya” [I am the liquidity in water, O son of Kunti] etc., in Chapter Eight – “adhiyojna’evamAtra” [I am the “adhiyajna” [Lord of offerings] indeed; see Chapter 8, slokas 3-4, item 6 for spiritual definition and explanation of “adhiyajna”] etc., and in Chapter Nine – “aham kraturahaṃ yajnah” [I am the rite, I am the fire sacrifice] etc., the Lord described the Self in a very concise manner. And in the last sloka of Chapter Nine, He also explained the method through which the Self can be attained. With this, the disciple Arjuna received the Lord’s endearment. But, in case all doubts are not removed because of such a summarized explanation, the Lord is again [or: further] elucidating the teachings regarding resolution with the Supreme Self."
2,"The gods do not know My Origin, neither do the “maharshi[s]” [great seer[s]]. This is because I AM before all gods and great sages.","That “I” which is on the upper side of “Vivasvan” [see commentary to 4:1-2 of the Pranab Gita] – the gods do not know that. That is because they are enjoyers of the fruits of karma [acts; rites]. They are not “karmi[s]” [spiritual practitioners; those who do the spiritual act]. “Maharshi[s]” [great seers] are those who know the three phases of time, who completely know the created cosmos. They too, do not know that state of Mine. Why is it that they [gods and “maharshis”] do not know? Take a look and see why. If you stay with the enquiry into the three phases of time and samsara, then you will have to remain as a practitioner of the dharma of the chitta [dharma of the personal consciousness]. You will not be able to go above. If one wants to go above, the enjoyment of the fruits of karma and the power of enquiry will have to be left behind, and they [karmic fruits and enquiry] will remain in the field of the chitta [personal consciousness]. When you withdrew your “I” from Maya and experienced these [following] things: the revelation of Vivasvan at the field where “I” and Maya separate, and the putting forth of the reflection of Vivasvan onto the chitta – at that time you understood that these experiences cannot be touched by those who follow the dharma of the chitta. That is because these are realities that are far above the chitta. And the True “I” is even above these. It is because you are a “karmi” [spiritual practitioner; doer of the spiritual act] that these [matters above the chitta] were experienced by you through “karma” (Kriya). But, as the “maharshis” are always abiding in matters that bless the world, they do not grasp the state of the Upper “I”. But that does not mean that you should come to the conclusion that they [the “maharshis” – great seers] do not have the ability to grasp That “I”. In any case, “I” Am prior to the great sages and gods."
3,"The one who knows Me to be without beginning and the Supreme Lord of all the worlds – that one, among those of the earthen-world, is without delusion, and is free of all sins.","In this beginning- and end-endowed world, no one and nothing is without beginning. Only “I” AM without beginning – the Original Cause. As the “karmi”’s [spiritual practitioner’s] karma [actions and their fruits] is reduced by doing karma [spiritual practice], as a result of that, that sadhak/karmi comes closer and closer to this “I”. As soon as that sadhak realizes that “I” is different from him/her and that It IS without beginning, right away, that sadhak casts off “moodhatva” [foolishness] (the one who is under the power of desire – that is the one who is “moodha” [stupid; fool; ignorant]), merges with “I”, leaves the dharma of the earthen-world, and knows “I” to be the Great Lord of creation. Thus, the change-bound restlessness (sin) no longer remains. That is because “I” AM the Origin, without birth. There is no appearance of sin in “I”; there is no sin in Me at all."
"04,05","The manifold states that arise in living beings such as “buddhi,” “jnana,” “asammoha,” “kshama,” “satya,” “dama,” “shama,” “sukha,” “duhkha,” “utpatti,” “nasha,” “bhaya,” “abhaya,” “ahimsa,” “samata,” “tushti,” “tapa,” “daan,” “yasha,” “ayasha” etc. all arise from Me. ","“Buddhi” means: the power within the antahkarana [the four-fold personal consciousness] that enables one to discern between truth and untruth [or: good and bad], and thereby allows one to understand the subtler things – meaning: the vritti [functionality] of “making certain/clear [or: making definite].”
 
Jnana – see Chapter 9, sloka 1. That which has been made clear through the enquiry-endowed “buddhi” – to apply that is called “jnana.”
 
Asammoha – “a” = negation + “saṃ” = “samyak” [total] + “moha” = the vritti [functionality] of ignorance. The state in which the vritti of ignorance ends completely – that state is called the state of “asammhoha.”
 
Kshama – the power to be indifferent to praise or derision by others, even if the recipient has the ability to respond – that is “kshama.”
 
Satya – to do good for others without any ulterior motive [of recompense and such].
 
Dama – the control of the external sense-organs.
 
Shama – the control of the antahkarana [the four inner operators of personal consciousness].
 
Sukha – “su” = “sundar” [beautiful]; “khaṃ” = void – meaning: being without anxiety/tension.
 
Duhkha – the opposite of “sukha.”
 
Bhava – birth.
 
Abhava – death.
 
Ahimsa – empathy towards living beings.
 
Samata – the ending of likes and dislikes.
 
Tushti – contentment.
 
Tapa – the effort to burn the mutations of Maya to ashes in the fire of Knowledge/Awareness.
 
Daan – the giving away of one’s properly acquired possessions, as much as is feasible, to worthy recipients. Dear sadhak! See! You are nothing but Brahman [the Absolute]. Even so – the fact that you have taken refuge in Maya, and the fact that, under the power of ego, you have dressed up as “I” and have taken on sound, touch, sight, taste and smell – these forms are your “properly acquired” “dhana” [wealth]. “Dhana” [wealth] – “dha” = “dharana” [concentration]; “na” = negation/annihilation – to be devoid of concentration is called “dhana.” [When there is focus on “dhana”] the mind cannot be concentrated [on the Self], because of being in the worldly experiences of sound and such; only restlessness is there. That is why these [worldly experiences] are called “dhana” [wealth]. All of this wealth of yours – all of these are “asat” [non-truth], because they are limited. To give away all of these to worthy recipients – meaning: to surrender them to the Limitless Parambrahman is called “daan” [giving away] (see “brahmaNAdhyaya” Chapter 5, sloka 10) – meaning: upon having cast off desires, forgetting the separate existence of those things through the practice of meditation on Brahman, and seeing Brahman in all – that is “daan.”
 
Yasha – renown from doing righteous deeds.
 
Ayaha – infamy from doing non-righteous deeds.
 
These [aforementioned things] are in the marketplace of “bhoota” [phenomena/living beings] – meaning: they exist for those who follow the dharma of the antahkarana [personal consciousness]. That is why these are called “bhoota-bhava” [the states of the “bhootas”]. Although these states arise from “I”, they are variegated – meaning: of different kinds. “That” which is the state of “I” or the State of the Self – there is no sense of separateness in that. “That” is One without a second. This is the reason that the states of the “bhootas” are completely opposite to the State of the Self."
6,"The seven personages – “Marichi” [an immortal sage] and such – and the four “maharshis” [great seers] such as “Sanaka” [a mind-born sage] from the past, and the personages of the “Manus” [progenitors of humanity] such as “Svayambhu” [the first “Manu”] all get their power from Me and come forth from My Mind – all of these ones from whom all of the participants of creation have been created.","“Mahat” is Consciousness/Spirit as it is present within Maya – meaning: “Ishvara” [God as a separate Being]. The one who has attained this state of “Mahat” through the power of sadhana [spiritual practice] – that is the one who is called “maharshi” [the one who has attained “Mahat”]. In this present “Vaivasvata Manavantara” [name of the current aeon], seven beings have attained that state. Their names are: Marichi, Atri, Angira, Pulasta, Pulaha, Kratu and Vashishtha. And in some places it is said that the maharshis of the Vaivasvata Manavantara are: Kashyap, Atri, Vashishtha, Vishvamitra, Gautam [not Gautam the Buddha], Jamadagni and Bharadvaj. The four beings from the primordial times are: Sanaka, Sananda, Sanatkumar and Sanatan. The fourteen Manus [progenitors of humanity] are: Svayambhuva [also called Svayambhu], Svarochisha, Uttama, Tamasa, Vaivata, Chakshusha, Vaivasvata (this Vaivasvata Manavantara [aeon] is the current one), Savarni, Dakshasavarni, Brahmasavarni, Dharmasavarni, Rudrasavarni, Devasavarni and Indrasavarni. All of these ones are born of imagination-power of My Mind – meaning: the particular vritti [functionality] that is called “manas” [mind] — Begin Footnote. —  “Manas” [mind] – to accept. To accept something is “manas” – the power of desire — End Footnote. — that arises within My State of Being, all of these ones have arisen in that Mind. All of these beings are endowed with My State of Being – meaning: they are adepts of My “Vaishnavi” (omnipresence). They are “prajapati” [lords of the created world]. It is from them that the innumerable living beings have spread out throughout creation."
7,The one who comes to know about all of these Glories/Manifestations of Mine as well as yogic truths (the adeptness in the manifestations of yoga) – that one becomes united to unwavering yoga. There is no doubt about this.,"This creation-vritti [creation-functionality] of Mine, this dissolution-vritti [of Mine] (addition [creation] and subtraction [dissolution]), and the “Kaivalya Sthiti” [Reality of Only-ness] that is before creation and after dissolution – these three together make up My “vibhuti-yoga.” “Vibhuti” [glories; divine manifestations/happenings; miracles] = extraordinary kind of manifestation. The extraordinary aspect is that there are millions and millions of microcosms in the form of living beings in the macrocosm. And “yoga” is to gather up those “vibhuti” [divine manifestations] and merge [in the Self]. One who witnesses these two [vibhuti and yoga] while [at the same time] being aware of the manifested experience – meaning: the time just before the dissolution that happens by the power of sadhana, when the state of being under the power of Prakriti is still there – the one who, in that state, sees this creation and the grand sport of this creation – for that being, at the time of dissolution – meaning: at the time of merging with “I” – there is no more taste for dancing about in the lusts for enjoyments. Thus, one falls into “I”, and there is the attainment of “Kaivalya” [Only-ness]. No shifting about happens in That. This is a statement that is without doubt."
8,"I, indeed, am the cause of all manifestations, and it is from Me that all proceeds. Knowing this, the knowledgeable ones, in their meditative states, worship Me.","“Aham” – “I” – “Paramatman” [Supreme Self]; “sarva” [all] – the garland-narrative of creation, from Brahmaa [the creator] to stones and all there is throughout creation. “Budh” [knowledgeable one; the planet Mercury] – the planet that is closest to the Sun – that is “Budh.” Thus the light of the Sun falls more on Budh. Similarly, the one who, through discriminatory-awareness, always keeps the company of the Supreme Self – that being is also “Budh” [receiving the Knowledge of the Self] – “viveki” [spiritually discerning one]. When this discrimination/discernment is attained, the sadhak [spiritual practitioner] becomes aware that “I” AM the source of all – the Cause of manifestation, and whatever states that are taking place in all living beings/phenomena such as “buddhi,” “jnana,” “asammoha” etc. [see slokas 10:4-5] – are all happening from this “I”. “I” am the One and Only refuge of all as well as their Operator. When this type of knowing happens, one is united to the State of the Self, and does the worship of “I” alone – meaning: there is no desire at all to take recourse/refuge in anything except “I”; one makes effort with the whole of life, mind and heart to just merge with That “I”. "
9,"Having put mind and life on Me (those “budh[s]” [knowledgeable ones; see commentary to sloka 10:8 above for spiritual explanation]), teach each other about the matters of “I”, and conversing always about the matters of “I”, attain contentment and happiness.","At the time of dissolution, “mind-ness” does not remain in Maya; it enters into “I”. And therefore, the life-force that is usually connected to life in the world – that too, along with “mind-ness,” enters into “I”. This is because at that time Maya has no power of action. For this reason, the duality of the “other” comes to an end. If there is anyone there to say anything at that time, and if that being says anything – in that case, because that being is Alone, that being will say, “I AM ‘I’.” This “I” is, verily, the Eternal. All that is to be had has been had (because everything has merged into “I”), and because of this, there is no wanting for attaining or having. Joy is Itself enjoying Joy. Purush and Prakriti becoming one is that which is called “raman” [Divine Romance; Divine Delight]. And that is what is happening here."
10,"Those who are ever-united in yoga, and worship Me with love, I bestow upon them that “buddhi-yoga” (jnana [spiritual knowledge]), by which, they attain Me.","Those who enjoy that happiness of the Bliss of Brahman at all times – because of being under the Power of Love, they do not want to ever let go of “I”; they worship [“I”]. Thus, I take their minds and merge them into “I” and make them “I”, and thus, they become “I”."
11,"Those who meditate [upon Me] in the aforementioned way – out of compassion, I live in their beings, and by the Luminous Lamp of Knowledge/Awareness, I destroy the darkness born of ignorance.","By the Grace of “I”, for the spiritual practitioner of this kind, the ignorance-bound mutations of Maya are destroyed. This is because that sadhak has become Still in the State of the Self, and thus the Light from the State of the Self permeates that practitioner’s inner being."
