Verse Number,Translation,Commentary
1,tam tatha kripyavishtamasrupurnakulekshanam vishidantamidam vakyamuvacha madhusudanah,"[Commentary:]2) It is being revealed via Kutastha: By looking at things everywhere else and being attached to that, this tremendous sin that has come upon you - this is not the work of those who abide in Brahman, and there is no happiness in this [attachment to senses etc.] either. Not abiding in Kutastha will cause whatever malevolent things to happen."
2,kutastvakashmalamidam vishame samupasthitam anaryajushtamasvargyamakirtikaramarjuna,"[Commentary:]3) Like a eunuch, neither on this side nor on that side, meaning not even being only covered in samsara, because from time to time even extreme evil-doers think about God, and neither being in Atman all the time - not being like that also, because from time to time the attention goes out to worldly attachment - for you this is not appropriate action - those who are of low character and those who have no desire to anything good - they are the ones who act in this way - therefore renounce this - renouncing it, remain above - when that happens, that is when you will always abide in Kutastha.Arjuna said:"
3,klaivyam masma gamah partha naitat tvayuppadyate khudram hridayadourbalam taktvottishtha paramtapa,[Commentary:]4) The fire of the body is saying: What kind of perpetual fear - that rises by itself - engaging in which men can be killed - and what father and grandfather have always done - how can I be without that - those whom I have honored at all times - but You are the True destroyer of the side of the enemies comprised of the senses and such.
4,katham bhishmaham samkhye dronancha madhusudana ishubhih pratiyotsyami pujarharvarisudana,[Commentary:]5) Killing those whom I have perceived as good - because of attaining some future happiness - this is not correct action in my judgment.
5,gurunahatvahi mahanubhavan sreyo bhoktum bhaikshyamapihaloke hatvarthakamamstu gurunihaiva bhunjiabhogan rudhirapradigdhan,"[Commentary:]6) I do not see good in either victory or defeat - all those that are alive in front of me - I do not wish to kill them and live. Dhartarashtrah - meaning: senses etc. (10 senses, going in 10 directions, 10 x 10 = 100 children, see illustrated commentary).*[*Translator’s note: The parentheses and the translated text within them are in the original.]"
6,na chaitadvidmah katarannogariyo yadva jayema yadiva no jayeyuh yaneva hatva na jijirvashamas tehavasthitah pramukhe dhartarashtrah,"[Commentary:]7) I am very miserly, because I crave results from every action. I do not give one penny to anyone without expectation of something, thus, the actualization of craving results - which is the mind being attentive elsewhere, meaning that I have destroyed the absorption in Atman, meaning Stillness, thus I cannot know what type of thing dharma is - for this reason I am asking - similar to a stupid (good)* person - stupid because of this: I cannot keep the mind steady in the chitta within - what is good amongst these, meaning remaining with the senses or vanquishing them - tell me that which is good, meaning make me experience it, because I am a disciple, meaning that I always perform Kriya, and I lay always at Your Feet, meaning Kriya itself.[*Translator’s note: The parentheses and the translated text within them are in the original.]"
7,karpanyadoshopahatasvabhavah pricchami tvam dharmasammudhachetah yacchreyah syannishchitam bruhitanme shishyastehham shadhi mam tvam prapannam,"[Commentary:]8) Even being without attachment to anything, I am not sensing any good at first.Sanjaya said:"
8,na hi prapashyami mamanupadyat yacchokamucchoshanamindriyanam avapya bhumavasapatnamriddham rajyam suramapi chadhipatyam,"[Commentary:]9) It is being experienced by the subtle perception: The energy of the body expressed this feeling to Kutastha and sat down, saying, “I will not perform Kriya.”"
9,evamuktva hrishikesham gudakeshah paramtapah na yotsya ity govindamuktva tushnim babhuvaha,"[Commentary:]10) Kutastha ecstatically spoke out. During this time before the commencement of Kriya with the thought occurring - should I do or should I not, both of them were in the midst of the two sides.Sri Bhagavan said:"
10,tamuvacha hrishikeshah prahasanniva bharata senayorubhayormadhye vishidantamidam vachah,"[Commentary:]11) No one should not grieve over matters which are not worthy of grief - this is what the wise ones have said. Knowledgeable ones do not grieve over that which is gone, neither do those who see with clarity and impartiality."
